profile,similarity,collision_probability,bands,rows_per_band
narrow,0.0,0.0,8,2
narrow,0.01,0.00079972,8,2
narrow,0.02,0.00319552,8,2
narrow,0.03,0.00717736,8,2
narrow,0.04,0.01272855,8,2
narrow,0.05,0.01982587,8,2
narrow,0.06,0.02843972,8,2
narrow,0.07,0.03853427,8,2
narrow,0.08,0.05006768,8,2
narrow,0.09,0.06299238,8,2
narrow,0.1,0.07725531,8,2
narrow,0.11,0.09279824,8,2
narrow,0.12,0.10955816,8,2
narrow,0.13,0.12746759,8,2
narrow,0.14,0.146455,8,2
narrow,0.15,0.16644525,8,2
narrow,0.16,0.18735999,8,2
narrow,0.17,0.20911811,8,2
narrow,0.18,0.23163623,8,2
narrow,0.19,0.25482918,8,2
narrow,0.2,0.27861042,8,2
narrow,0.21,0.3028926,8,2
narrow,0.22,0.32758798,8,2
narrow,0.23,0.35260895,8,2
narrow,0.24,0.37786846,8,2
narrow,0.25,0.40328053,8,2
narrow,0.26,0.42876065,8,2
narrow,0.27,0.45422624,8,2
narrow,0.28,0.47959708,8,2
narrow,0.29,0.50479563,8,2
narrow,0.3,0.52974747,8,2
narrow,0.31,0.55438162,8,2
narrow,0.32,0.57863084,8,2
narrow,0.33,0.60243188,8,2
narrow,0.34,0.62572582,8,2
narrow,0.35,0.64845818,8,2
narrow,0.36,0.67057917,8,2
narrow,0.37,0.69204381,8,2
narrow,0.38,0.71281205,8,2
narrow,0.39,0.73284883,8,2
narrow,0.4,0.75212411,8,2
narrow,0.41,0.7706129,8,2
narrow,0.42,0.7882952,8,2
narrow,0.43,0.80515595,8,2
narrow,0.44,0.82118492,8,2
narrow,0.45,0.83637655,8,2
narrow,0.46,0.85072987,8,2
narrow,0.47,0.86424819,8,2
narrow,0.48,0.87693899,8,2
narrow,0.49,0.88881363,8,2
narrow,0.5,0.89988708,8,2
narrow,0.51,0.91017769,8,2
narrow,0.52,0.91970683,8,2
narrow,0.53,0.92849864,8,2
narrow,0.54,0.93657968,8,2
narrow,0.55,0.94397863,8,2
narrow,0.56,0.95072596,8,2
narrow,0.57,0.95685357,8,2
narrow,0.58,0.96239453,8,2
narrow,0.59,0.96738271,8,2
narrow,0.6,0.9718525,8,2
narrow,0.61,0.9758385,8,2
narrow,0.62,0.97937524,8,2
narrow,0.63,0.98249691,8,2
narrow,0.64,0.98523713,8,2
narrow,0.65,0.98762868,8,2
narrow,0.66,0.98970335,8,2
narrow,0.67,0.99149169,8,2
narrow,0.68,0.99302291,8,2
narrow,0.69,0.99432472,8,2
narrow,0.7,0.99542321,8,2
narrow,0.71,0.99634277,8,2
narrow,0.72,0.99710604,8,2
narrow,0.73,0.9977339,8,2
narrow,0.74,0.99824539,8,2
narrow,0.75,0.99865778,8,2
narrow,0.76,0.99898658,8,2
narrow,0.77,0.99924559,8,2
narrow,0.78,0.99944698,8,2
narrow,0.79,0.99960136,8,2
narrow,0.8,0.99971789,8,2
narrow,0.81,0.99980436,8,2
narrow,0.82,0.99986734,8,2
narrow,0.83,0.99991226,8,2
narrow,0.84,0.99994357,8,2
narrow,0.85,0.99996484,8,2
narrow,0.86,0.99997886,8,2
narrow,0.87,0.9999878,8,2
narrow,0.88,0.99999329,8,2
narrow,0.89,0.99999651,8,2
narrow,0.9,0.9999983,8,2
narrow,0.91,0.99999924,8,2
narrow,0.92,0.99999969,8,2
narrow,0.93,0.99999989,8,2
narrow,0.94,0.99999997,8,2
narrow,0.95,0.99999999,8,2
narrow,0.96,1.0,8,2
narrow,0.97,1.0,8,2
narrow,0.98,1.0,8,2
narrow,0.99,1.0,8,2
narrow,1.0,1.0,8,2
medium,0.0,0.0,4,4
medium,0.01,4e-08,4,4
medium,0.02,6.4e-07,4,4
medium,0.03,3.24e-06,4,4
medium,0.04,1.024e-05,4,4
medium,0.05,2.5e-05,4,4
medium,0.06,5.184e-05,4,4
medium,0.07,9.604e-05,4,4
medium,0.08,0.00016383,4,4
medium,0.09,0.00026241,4,4
medium,0.1,0.00039994,4,4
medium,0.11,0.00058551,4,4
medium,0.12,0.00082918,4,4
medium,0.13,0.00114195,4,4
medium,0.14,0.00153575,4,4
medium,0.15,0.00202346,4,4
medium,0.16,0.00261886,4,4
medium,0.17,0.00333666,4,4
medium,0.18,0.00419243,4,4
medium,0.19,0.00520266,4,4
medium,0.2,0.00638466,4,4
medium,0.21,0.00775658,4,4
medium,0.22,0.00933737,4,4
medium,0.23,0.01114674,4,4
medium,0.24,0.01320514,4,4
medium,0.25,0.01553369,4,4
medium,0.26,0.01815413,4,4
medium,0.27,0.02108878,4,4
medium,0.28,0.02436049,4,4
medium,0.29,0.0279925,4,4
medium,0.3,0.03200846,4,4
medium,0.31,0.03643225,4,4
medium,0.32,0.04128793,4,4
medium,0.33,0.04659965,4,4
medium,0.34,0.05239148,4,4
medium,0.35,0.05868734,4,4
medium,0.36,0.06551085,4,4
medium,0.37,0.07288516,4,4
medium,0.38,0.08083284,4,4
medium,0.39,0.08937567,4,4
medium,0.4,0.09853452,4,4
medium,0.41,0.1083291,4,4
medium,0.42,0.11877783,4,4
medium,0.43,0.12989759,4,4
medium,0.44,0.14170355,4,4
medium,0.45,0.15420891,4,4
medium,0.46,0.1674247,4,4
medium,0.47,0.18135956,4,4
medium,0.48,0.19601948,4,4
medium,0.49,0.21140756,4,4
medium,0.5,0.2275238,4,4
medium,0.51,0.24436484,4,4
medium,0.52,0.26192373,4,4
medium,0.53,0.2801897,4,4
medium,0.54,0.29914794,4,4
medium,0.55,0.3187794,4,4
medium,0.56,0.33906057,4,4
medium,0.57,0.35996337,4,4
medium,0.58,0.38145489,4,4
medium,0.59,0.40349738,4,4
medium,0.6,0.42604806,4,4
medium,0.61,0.44905913,4,4
medium,0.62,0.47247772,4,4
medium,0.63,0.49624591,4,4
medium,0.64,0.52030084,4,4
medium,0.65,0.5445748,4,4
medium,0.66,0.56899549,4,4
medium,0.67,0.5934862,4,4
medium,0.68,0.61796623,4,4
medium,0.69,0.64235125,4,4
medium,0.7,0.6665538,4,4
medium,0.71,0.69048388,4,4
medium,0.72,0.71404961,4,4
medium,0.73,0.737158,4,4
medium,0.74,0.75971577,4,4
medium,0.75,0.78163032,4,4
medium,0.76,0.80281075,4,4
medium,0.77,0.82316898,4,4
medium,0.78,0.84262092,4,4
medium,0.79,0.86108781,4,4
medium,0.8,0.87849745,4,4
medium,0.81,0.89478566,4,4
medium,0.82,0.90989763,4,4
medium,0.83,0.92378933,4,4
medium,0.84,0.93642886,4,4
medium,0.85,0.94779779,4,4
medium,0.86,0.9578923,4,4
medium,0.87,0.96672424,4,4
medium,0.88,0.97432192,4,4
medium,0.89,0.98073066,4,4
medium,0.9,0.98601287,4,4
medium,0.91,0.99024778,4,4
medium,0.92,0.99353054,4,4
medium,0.93,0.99597057,4,4
medium,0.94,0.99768918,4,4
medium,0.95,0.99881609,4,4
medium,0.96,0.99948487,4,4
medium,0.97,0.99982687,4,4
medium,0.98,0.99996368,4,4
medium,0.99,0.99999759,4,4
medium,1.0,1.0,4,4
wide,0.0,0.0,2,8
wide,0.01,0.0,2,8
wide,0.02,0.0,2,8
wide,0.03,0.0,2,8
wide,0.04,0.0,2,8
wide,0.05,0.0,2,8
wide,0.06,0.0,2,8
wide,0.07,0.0,2,8
wide,0.08,0.0,2,8
wide,0.09,1e-08,2,8
wide,0.1,2e-08,2,8
wide,0.11,4e-08,2,8
wide,0.12,9e-08,2,8
wide,0.13,1.6e-07,2,8
wide,0.14,3e-07,2,8
wide,0.15,5.1e-07,2,8
wide,0.16,8.6e-07,2,8
wide,0.17,1.4e-06,2,8
wide,0.18,2.2e-06,2,8
wide,0.19,3.4e-06,2,8
wide,0.2,5.12e-06,2,8
wide,0.21,7.56e-06,2,8
wide,0.22,1.098e-05,2,8
wide,0.23,1.566e-05,2,8
wide,0.24,2.201e-05,2,8
wide,0.25,3.052e-05,2,8
wide,0.26,4.176e-05,2,8
wide,0.27,5.649e-05,2,8
wide,0.28,7.556e-05,2,8
wide,0.29,0.00010005,2,8
wide,0.3,0.00013122,2,8
wide,0.31,0.00017057,2,8
wide,0.32,0.00021989,2,8
wide,0.33,0.00028126,2,8
wide,0.34,0.00035713,2,8
wide,0.35,0.00045032,2,8
wide,0.36,0.00056414,2,8
wide,0.37,0.00070237,2,8
wide,0.38,0.00086937,2,8
wide,0.39,0.00107012,2,8
wide,0.4,0.00131029,2,8
wide,0.41,0.00159635,2,8
wide,0.42,0.00193559,2,8
wide,0.43,0.00233627,2,8
wide,0.44,0.00280767,2,8
wide,0.45,0.0033602,2,8
wide,0.46,0.0040055,2,8
wide,0.47,0.00475659,2,8
wide,0.48,0.00562792,2,8
wide,0.49,0.00663554,2,8
wide,0.5,0.00779724,2,8
wide,0.51,0.00913264,2,8
wide,0.52,0.01066337,2,8
wide,0.53,0.01241318,2,8
wide,0.54,0.01440812,2,8
wide,0.55,0.01667667,2,8
wide,0.56,0.01924992,2,8
wide,0.57,0.02216167,2,8
wide,0.58,0.02544861,2,8
wide,0.59,0.0291505,2,8
wide,0.6,0.03331021,2,8
wide,0.61,0.03797395,2,8
wide,0.62,0.0431913,2,8
wide,0.63,0.04901534,2,8
wide,0.64,0.05550271,2,8
wide,0.65,0.06271362,2,8
wide,0.66,0.07071183,2,8
wide,0.67,0.07956463,2,8
wide,0.68,0.08934267,2,8
wide,0.69,0.10011979,2,8
wide,0.7,0.11197273,2,8
wide,0.71,0.12498073,2,8
